label	readable
PERS.=2|NOMB.=s|GENRE=x|CAS=n	2e personne singulier genre non établi nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=s|GENRE=x|CAS=r	2e personne singulier genre non établi régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=p|GENRE=f|CAS=i	3e personne pluriel féminin régime indirect PROper, PROper.PROper
PERS.=3|NOMB.=x|GENRE=x|CAS=x	3e personne réfléchi (nombre, genre et cas non déterminables) PROper
PERS.=3|NOMB.=p|GENRE=f|CAS=n	3e personne pluriel féminin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=p|GENRE=f|CAS=r	3e personne pluriel féminin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=p|GENRE=m|CAS=i	3e personne pluriel masculin régime indirect PROper, PROper.PROper
PERS.=3|NOMB.=p|GENRE=m|CAS=n	3e personne pluriel masculin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=p|GENRE=m|CAS=r	3e personne pluriel masculin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=p|GENRE=x|CAS=i	3e personne pluriel genre non établi régime indirect PROper, PROper.PROper
PERS.=3|NOMB.=p|GENRE=x|CAS=n	3e personne pluriel genre non établi nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=p|GENRE=x|CAS=r	3e personne pluriel genre non établi régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=s|GENRE=f|CAS=i	3e personne singulier féminin régime indirect PROper, PROper.PROper
PERS.=3|NOMB.=s|GENRE=f|CAS=n	3e personne singulier féminin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=s|GENRE=f|CAS=r	3e personne singulier féminin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=s|GENRE=m|CAS=i	3e personne singulier masculin régime indirect PROper, PROper.PROper
PERS.=3|NOMB.=s|GENRE=m|CAS=n	3e personne singulier masculin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=s|GENRE=m|CAS=r	3e personne singulier masculin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=s|GENRE=x|CAS=i	3e personne singulier genre non établi régime indirect PROper, PROper.PROper
PERS.=3|NOMB.=s|GENRE=x|CAS=n	3e personne singulier genre non établi nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=s|GENRE=x|CAS=r	3e personne singulier genre non établi régime
PERS.=1|NOMB.=p|GENRE=f	1re personne pluriel féminin   ADJpos,PROpos,DETpos
PERS.=1|NOMB.=p|GENRE=m	1re personne pluriel masculin   ADJpos,PROpos,DETpos
PERS.=1|NOMB.=p|GENRE=x	1re personne pluriel genre non établi   ADJpos,PROpos,DETpos
PERS.=1|NOMB.=s|GENRE=f	1re personne singulier féminin   ADJpos,PROpos,DETpos
PERS.=1|NOMB.=s|GENRE=m	1re personne singulier masculin   ADJpos,PROpos,DETpos
PERS.=1|NOMB.=s|GENRE=x	1re personne singulier genre non établi   ADJpos,PROpos,DETpos
PERS.=2|NOMB.=p|GENRE=f	2e personne pluriel féminin   ADJpos,PROpos,DETpos
PERS.=2|NOMB.=p|GENRE=m	2e personne pluriel masculin   ADJpos,PROpos,DETpos
PERS.=2|NOMB.=p|GENRE=x	2e personne pluriel genre non établi   ADJpos,PROpos,DETpos
PERS.=2|NOMB.=s|GENRE=f	2e personne singulier féminin   ADJpos,PROpos,DETpos
PERS.=2|NOMB.=s|GENRE=m	2e personne singulier masculin   ADJpos,PROpos,DETpos
PERS.=2|NOMB.=s|GENRE=x	2e personne singulier genre non établi   ADJpos,PROpos,DETpos
PERS.=3|NOMB.=p|GENRE=f	3e personne pluriel féminin   ADJpos,PROpos,DETpos
PERS.=3|NOMB.=p|GENRE=m	3e personne pluriel masculin   ADJpos,PROpos,DETpos
PERS.=3|NOMB.=p|GENRE=x	3e personne pluriel masculin   ADJpos,PROpos,DETpos
PERS.=3|NOMB.=s|GENRE=f	3e personne singulier féminin   ADJpos,PROpos,DETpos
PERS.=3|NOMB.=s|GENRE=m	3e personne singulier masculin   ADJpos,PROpos,DETpos
PERS.=3|NOMB.=s|GENRE=x	3e personne singulier genre non établi   ADJpos,PROpos,DETpos
NOMB.=p|GENRE=x	pluriel genre non établi, PRE.DETdef
PERS.=1|NOMB.=p|GENRE=x|CAS=x	1re personne pluriel genre et cas non établis PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=2|NOMB.=p|GENRE=x|CAS=x	2e personne pluriel genre et cas non établis PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=3|NOMB.=p|GENRE=f|CAS=x	3e personne pluriel féminin cas non établis (elles) PROper, PROper.PROper,ADJpos,PROpos,DETpos
NOMB.=s|GENRE=x	singulier genre non établi (même, …)
NOMB.=p|GENRE=x	pluriel genre non établi (même, …)
MODE=ind|TEMPS=pst|PERS.=x|NOMB.=x	voilà, voici
NOMB.=x|GENRE=m	masculin, nombre non établi
NOMB.=x|GENRE=f	féminin, nombre non établi
